Model,Accuracy,Precision,Recall,F1_Score,ROC_AUC,Training_Time
Decision Tree,0.6601731601731602,0.5683453237410072,0.44886363636363635,0.5015873015873016,0.7097504767959313,0.03370952606201172
Random Forest,0.6796536796536796,0.5777777777777777,0.5909090909090909,0.5842696629213483,0.7447949777495232,0.4230325222015381
XGBoost,0.6688311688311688,0.5680473372781065,0.5454545454545454,0.5565217391304348,0.7354378575969486,0.23691630363464355
Neural Network,0.6363636363636364,0.5217391304347826,0.5454545454545454,0.5333333333333333,0.6863278766687858,2.2119061946868896
